,name,mes_count,end,start
1026,spirits,541 Messages,2006-03-23,2008-01-30
1027,spwg,84 Messages,1990-02-21,1991-08-21
1028,ssphwg,18 Messages,1990-03-30,1990-04-12
1029,ssw-agenda-tool,1 Messages,2013-02-12,2013-02-12
1030,status,461 Messages,2013-06-20,2013-11-13
1031,stdguide,7 Messages,1996-08-19,1997-09-04
1032,stevetest,158 Messages,2013-11-18,2013-12-31
1033,stox,810 Messages,2013-05-03,2017-01-25
1034,straw,631 Messages,2012-07-04,2017-03-17
1035,strint-attendees,74 Messages,2014-02-04,2015-12-15
1036,stun,167 Messages,2001-08-21,2006-01-11
1037,svrloc,2 Messages,1999-12-13,2007-06-25
1038,tcmtf,538 Messages,2012-07-10,2014-10-27
1039,tcpcrypt,294 Messages,2014-03-24,2014-06-27
1040,tcpimpl,128 Messages,1998-12-23,2008-01-30
1041,tcplw,439 Messages,1991-12-30,1998-07-27
1042,tcpsat,126 Messages,2006-11-17,2008-01-30
1043,techspec,311 Messages,2005-10-06,2006-08-02
1044,telnet,313 Messages,1992-03-13,1996-02-09
1045,tewg,271 Messages,1990-01-30,2008-01-30
1046,thinosi,201 Messages,1992-11-28,1994-10-26
1047,tig-diagnostics,15 Messages,2012-07-06,2013-11-20
1048,time,123 Messages,2014-06-10,2014-09-15
1049,tip,17 Messages,1997-08-08,1998-10-12
1050,tnfs,11 Messages,1992-02-05,1994-05-12
1051,tools-team,829 Messages,2004-08-23,2016-04-06
1052,trigtran,108 Messages,2002-10-25,2003-12-24
1053,trunkmib,939 Messages,1992-01-13,1998-07-21
1054,tsig,84 Messages,1992-02-05,1993-05-26
1055,tuba,1518 Messages,1992-08-06,1994-12-16
1056,tzdist,1443 Messages,2014-07-18,2016-04-02
1057,ucp,141 Messages,1992-01-30,1994-11-14
1058,udp35,74 Messages,2014-05-02,2015-07-28
1059,upsmib,778 Messages,1992-07-15,1998-08-03
1060,uri,3507 Messages,1992-11-09,1997-08-28
1061,urlreg,2 Messages,2000-10-12,2000-11-15
1062,urn-nid,602 Messages,2003-04-07,2017-07-29
1063,userdoc2,4 Messages,1993-01-26,1994-03-24
1064,userglos,65 Messages,1992-03-10,1997-11-26
1065,uswg,86 Messages,2006-08-26,2008-01-30
1066,v6tc,253 Messages,2004-11-12,2005-09-01
1067,vgmib,148 Messages,1995-06-20,2015-04-15
1068,vipr,170 Messages,2011-03-27,2014-01-24
1069,web,17 Messages,2007-08-13,2007-10-14
1070,weirds,4495 Messages,2011-06-02,2016-03-04
1071,widex,156 Messages,2005-06-29,2007-07-22
1072,wnils,269 Messages,1992-08-22,1995-06-09
1073,wpkops,504 Messages,2012-08-20,2015-07-09
1074,x25mib,114 Messages,1992-01-20,1994-08-29
1075,x400ops,768 Messages,1992-01-17,1995-08-01
1076,yaco-community-tool,24 Messages,2011-12-02,2012-02-03
1077,yaco-idsubmit-tool,31 Messages,2011-02-18,2011-04-26
1078,yaco-liaison-tool,86 Messages,2010-07-19,2012-06-27
1079,yaco-nomcom-tool,16 Messages,2012-11-27,2013-01-15
1080,yaco-wgchair-tracker,61 Messages,2010-10-13,2012-03-06
