['draft-chen-lisp-er-mo', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-pkix-new-pkalgs-asn1', 'Expired Internet-Draft (1 hit)', 2]
['draft-roy-iptel-gw-server-registration', 'Expired Internet-Draft (1 hit)', 1]
['rfc5380', 'RFC (1 hit)', 9]
['draft-bradley-oauth-jwt-encoded-state', 'Expired Internet-Draft (1 hit)', 10]
['draft-liu-rohc-scribe', 'Expired Internet-Draft (1 hit)', 2]
['draft-davidben-tls-grease', 'Replaced Internet-Draft (1 hit)', 7]
['draft-decnodder-dhc-rai-unicast', 'Expired Internet-Draft (1 hit)', 2]
['draft-wei-payload-has-over-rtp', 'Expired Internet-Draft (1 hit)', 2]
faildraft-ietf-ppvpn-requirements
['rfc6325', 'RFC (1 hit)', 19]
['draft-ietf-l2vpn-vpws-iw-oam', 'Expired Internet-Draft (1 hit)', 10]
['rfc6171', 'RFC (1 hit)', 11]
['rfc5447', 'RFC (1 hit)', 15]
['draft-zzhang-l3vpn-mvpn-bidir-ingress-replication', 'Replaced Internet-Draft (1 hit)', 9]
['draft-franco-ipv4depletion', 'Expired Internet-Draft (1 hit)', 1]
['draft-jones-perc-private-media-reqts', 'Expired Internet-Draft (1 hit)', 1]
['rfc7780', 'RFC (1 hit)', 11]
['rfc6532', 'RFC (1 hit)', 15]
['rfc3295', 'RFC (1 hit)', 9]
['rfc7529', 'RFC (1 hit)', 11]
['rfc5265', 'RFC (1 hit)', 11]
['draft-camarillo-mmusic-sdp-bfcp', 'Expired Internet-Draft (1 hit)', 1]
['draft-simpson-tcpct-api', 'Expired Internet-Draft (1 hit)', 5]
['rfc7860', 'RFC (1 hit)', 7]
['draft-lhotka-netmod-ysdl', 'Expired Internet-Draft (1 hit)', 1]
['draft-hoffman-dprive-dns-tls-newport', 'Expired Internet-Draft (1 hit)', 2]
['draft-liu-i2rs-ipv6-use-case', 'Expired Internet-Draft (1 hit)', 1]
['draft-aayadi-6lowpan-tcphc', 'Expired Internet-Draft (1 hit)', 2]
['draft-tsao-mip-multihoming-lowpower', 'Expired Internet-Draft (1 hit)', 1]
['draft-perkins-sourceipnat', 'Expired Internet-Draft (1 hit)', 2]
['draft-crocker-dmarc-bcp', 'Expired Internet-Draft (1 hit)', 4]
['draft-shirey-ugli', 'Expired Internet-Draft (1 hit)', 2]
['draft-guduru-ietf-rtcweb-codec-preferences', 'Replaced Internet-Draft (1 hit)', 4]
['rfc2621', 'RFC (1 hit)', 7]
['draft-savola-v6ops-firewalling', 'Expired Internet-Draft (1 hit)', 3]
['draft-stewart-bgp-multiprotocol', 'Expired Internet-Draft (1 hit)', 1]
['draft-naik-nfsv4-xattrs', 'Expired Internet-Draft (1 hit)', 3]
['draft-fenner-ipv6-mibs-obsolete', 'Replaced Internet-Draft (1 hit)', 6]
['draft-ietf-idn-hangeulchar', 'Expired Internet-Draft (1 hit)', 1]
['draft-rekhter-mpls-pim-sm-over-mldp', 'Replaced Internet-Draft (1 hit)', 13]
['draft-dykim-6man-sid6', 'Expired Internet-Draft (1 hit)', 2]
['rfc2531', 'RFCs (2 hits)', 7]
['draft-zzhang-l2l3-vpn-mcast-mib', 'Replaced Internet-Draft (1 hit)', 20]
['rfc4489', 'RFC (1 hit)', 11]
['draft-pwid-urn-specification', 'Active Internet-Draft (1 hit)', 10]
['draft-gandhewar-dhc-v6-relay-initiated-release', 'Expired Internet-Draft (1 hit)', 2]
['draft-lee-rsvp-te-exclude-route', 'Expired Internet-Draft (1 hit)', 1]
['draft-irtf-cfrg-randomness-improvements', 'Active Internet-Draft (1 hit)', 10]
['draft-anderson-v6ops-siit-dc-2xlat', 'Replaced Internet-Draft (1 hit)', 4]
['draft-sidebottom-ips7', 'Expired Internet-Draft (1 hit)', 1]
['rfc6578', 'RFC (1 hit)', 10]
['draft-white-tsvwg-netblt', 'Expired Internet-Draft (1 hit)', 6]
['rfc7333', 'RFC (1 hit)', 22]
faildraft-ietf-bmwg-ippm-delay
['draft-ietf-stir-passport-rcd', 'Active Internet-Draft (1 hit)', 8]
['draft-fuxh-ccamp-multi-stage-multiplex-config-fwk', 'Expired Internet-Draft (1 hit)', 2]
['draft-mda-mpls-tp-p2mp-oam-framework', 'Expired Internet-Draft (1 hit)', 2]
['rfc7241', 'RFC (1 hit)', 13]
['draft-chen-decade-integration-example', 'Expired Internet-Draft (1 hit)', 1]
['draft-macdonald-antispam-registry', 'Expired Internet-Draft (1 hit)', 3]
['rfc6280', 'RFC (1 hit)', 11]
['draft-ietf-softwire-map-radius', 'Active Internet-Draft (1 hit)', 32]
['rfc2281', 'RFC (1 hit)', 2]
['draft-hoffman-idn-reg', 'Expired Internet-Draft (1 hit)', 3]
['draft-durand-gse+', 'Expired Internet-Draft (1 hit)', 1]
['draft-arkko-ietf-iasa-thoughts', 'Expired Internet-Draft (1 hit)', 1]
['draft-raza-spring-sr-policy-yang', 'Active Internet-Draft (1 hit)', 3]
['rfc2947', 'RFC (1 hit)', 3]
['rfc2910', 'RFC (1 hit)', 8]
['draft-etienne-rfc2154-flaws', 'Expired Internet-Draft (1 hit)', 1]
['draft-chroboczek-configuration-separate', 'Replaced Internet-Draft (1 hit)', 2]
['draft-ietf-tls-interoperability', 'Expired Internet-Draft (1 hit)', 1]
['draft-teraoka-powerconsumption-mib', 'Expired Internet-Draft (1 hit)', 2]
['draft-zhang-bier-babel-extensions', 'Expired Internet-Draft (1 hit)', 2]
faildraft-meyer-pim-dm-prune-refresh
['rfc4488', 'RFC (1 hit)', 6]
['draft-liao-mpls-obs', 'Expired Internet-Draft (1 hit)', 1]
['draft-koodli-paging', 'Expired Internet-Draft (1 hit)', 2]
['draft-otis-spf-dos-exploit', 'Expired Internet-Draft (1 hit)', 2]
['draft-lum-siprec-vxml', 'Expired Internet-Draft (1 hit)', 1]
['draft-ietf-dnsext-aaaa-a6', 'Expired Internet-Drafts (27 hits)', 2]
['rfc1950', 'RFC (1 hit)', 5]
['rfc5061', 'RFC (1 hit)', 24]
['draft-dupont-mip6-privacyext', 'Expired Internet-Draft (1 hit)', 5]
['rfc5460', 'RFC (1 hit)', 9]
['rfc3882', 'RFC (1 hit)', 7]
['draft-zhao-pim-igmp-mld-proxy-yang', 'Active Internet-Draft (1 hit)', 4]
